INSTANCE_DATE,PROCEDURE_EN,IS_FREE_HOLD_EN,AREA_EN,PROP_SB_TYPE_EN,TRANS_VALUE,ACTUAL_AREA,ROOMS_EN,NEAREST_METRO_EN,NEAREST_MALL_EN,NEAREST_LANDMARK_EN,PROJECT_EN,price_per_sqm,size_category,value_band
2026-01-02,Sale,Free Hold,BURJ KHALIFA,Flat,2600000.0,140.95,2 B/R,Business Bay Metro Station,Dubai Mall,Downtown Dubai,BAHWAN TOWER,18446.26,Premium,High-End
2026-01-02,Sale,Free Hold,BURJ KHALIFA,Flat,2731642.0,134.46,2 B/R,Business Bay Metro Station,Dubai Mall,Downtown Dubai,Imperial  Avenue,20315.65,Premium,High-End
2026-03-09,Sale,Free Hold,JUMEIRAH VILLAGE CIRCLE,Flat,620000.0,42.87,Studio,Nakheel Metro Station,Marina Mall,Sports City Swimming Academy,PANTHEON ELYSEE,14462.33,Compact,Entry
2026-03-06,Sale,Free Hold,JUMEIRAH VILLAGE CIRCLE,Flat,540000.0,36.86,Studio,Nakheel Metro Station,Marina Mall,Sports City Swimming Academy,,14650.03,Compact,Entry
2026-03-06,Sale,Free Hold,INTERNATIONAL CITY PH 1,Flat,515000.0,66.5,1 B/R,Rashidiya Metro Station,City Centre Mirdif,,,7744.36,Mid-Size,Entry
2026-03-06,Sale,Free Hold,INTERNATIONAL CITY PH 1,Flat,342000.0,44.0,Studio,Rashidiya Metro Station,City Centre Mirdif,,,7772.73,Compact,Entry
2026-03-09,Sale,Free Hold,PALM JUMEIRAH,Flat,22000000.0,561.12,3 B/R,Jumeirah Beach Resdency,Marina Mall,Burj Al Arab,W Residences Dubai - The Palm,39207.3,Premium,Ultra-Premium
2026-03-06,Sale,Free Hold,BURJ KHALIFA,Hotel Apartment,1675000.0,85.35,1 B/R,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,Downtown Dubai,THE DISTINCTION,19625.07,Mid-Size,High-End
2026-03-06,Sale,Free Hold,REMRAAM,Flat,1100000.0,93.4,2 B/R,,,Motor City,REMRAAM,11777.3,Spacious,Mid-Market
2026-03-06,Sale,Free Hold,DUBAI MARINA,Flat,1333500.0,41.37,Studio,Jumeirah Beach Resdency,Marina Mall,Burj Al Arab,BAY CENTRAL WEST & CENTRAL TOWERS,32233.5,Compact,Mid-Market
2026-03-06,Sale,Free Hold,JUMEIRAH VILLAGE CIRCLE,Flat,1500000.0,84.69,1 B/R,Dubai Internet City,Mall of the Emirates,Sports City Swimming Academy,Binghatti Phantom,17711.65,Mid-Size,High-End
2026-03-06,Sale,Free Hold,BURJ KHALIFA,Flat,1900000.0,80.74,1 B/R,Business Bay Metro Station,Dubai Mall,Downtown Dubai,CLAREN 1,23532.33,Mid-Size,High-End
2026-03-06,Sale,Free Hold,JUMEIRAH VILLAGE CIRCLE,Hotel Apartment,620000.0,43.81,Studio,Dubai Internet City,Mall of the Emirates,Sports City Swimming Academy,Milano Giovanni Boutique Suites,14152.02,Compact,Entry
